nombre,id,url
Altaír Tejeda de Tamez,,
Olivia Teroba,19722949,https://www.goodreads.com/author/list/19722949?page=1&per_page=100
Natalia Toledo,760779,https://www.goodreads.com/author/list/760779?page=1&per_page=100
Socorro Trejo Sirvent,,
Lourdes Urrea,956674,https://www.goodreads.com/author/list/956674?page=1&per_page=100
Tita Valencia,1450334,https://www.goodreads.com/author/list/1450334?page=1&per_page=100
Ana María Vázquez,593762,https://www.goodreads.com/author/list/593762?page=1&per_page=100
Socorro Venegas,4105212,https://www.goodreads.com/author/list/4105212?page=1&per_page=100
Adriana Ventura,15267383,https://www.goodreads.com/author/list/15267383?page=1&per_page=100
Marisol Vera Guerra,11573307,https://www.goodreads.com/author/list/11573307?page=1&per_page=100
Minerva Margarita Villarreal,1349446,https://www.goodreads.com/author/list/1349446?page=1&per_page=100
Karen Villeda,7788522,https://www.goodreads.com/author/list/7788522?page=1&per_page=100
Verónica Volkow Fernández,,
Lucía Yépez,4860315,https://www.goodreads.com/author/list/4860315?page=1&per_page=100
María Luisa Zorrilla Abascal,,
Margit Frenk,5010447,https://www.goodreads.com/author/list/5010447?page=1&per_page=100
Inés Arredondo,1192403,https://www.goodreads.com/author/list/1192403?page=1&per_page=100
Elena Garro,2420,https://www.goodreads.com/author/list/2420?page=1&per_page=100
Camila Sosa Villada,15865125,https://www.goodreads.com/author/list/15865125?page=1&per_page=100
Florencia Abbate,288946,https://www.goodreads.com/author/list/288946?page=1&per_page=100
Beatriz Actis,33327,https://www.goodreads.com/author/list/33327?page=1&per_page=100
Selva Almada,5827742,https://www.goodreads.com/author/list/5827742?page=1&per_page=100
María Cristina Alonso,2859790,https://www.goodreads.com/author/list/2859790?page=1&per_page=100
Chuny Anzorreguy,6368606,https://www.goodreads.com/author/list/6368606?page=1&per_page=100
Graciela Aráoz,28627336,https://www.goodreads.com/author/list/28627336?page=1&per_page=100
María Alejandra Araya,3205581,https://www.goodreads.com/author/list/3205581?page=1&per_page=100
Ana Arzoumanian,14261033,https://www.goodreads.com/author/list/14261033?page=1&per_page=100
Judith Astelarra,6269024,https://www.goodreads.com/author/list/6269024?page=1&per_page=100
Lohana Berkins,,
Alicia Borinsky,29587,https://www.goodreads.com/author/list/29587?page=1&per_page=100
Valeria Correa Fiz,15754086,https://www.goodreads.com/author/list/15754086?page=1&per_page=100
Mariana Enríquez,4930107,https://www.goodreads.com/author/list/4930107?page=1&per_page=100
Fernanda García Lao,5365824,https://www.goodreads.com/author/list/5365824?page=1&per_page=100
María Inés Garibaldi,21173400,https://www.goodreads.com/author/list/21173400?page=1&per_page=100
Angélica Gorodischer,111214,https://www.goodreads.com/author/list/111214?page=1&per_page=100
Alicia Jurado,958312,https://www.goodreads.com/author/list/958312?page=1&per_page=100
Alicia Kozameh,462578,https://www.goodreads.com/author/list/462578?page=1&per_page=100
María Inés Krimer,27955998,https://www.goodreads.com/author/list/27955998?page=1&per_page=100
Sandra Lorenzano,1241709,https://www.goodreads.com/author/list/1241709?page=1&per_page=100
Alma Maritano,1514864,https://www.goodreads.com/author/list/1514864?page=1&per_page=100
Julia Morilla de Campbell,18380694,https://www.goodreads.com/author/list/18380694?page=1&per_page=100
Ana Ojeda,8626610,https://www.goodreads.com/author/list/8626610?page=1&per_page=100
Elvira Orphée,1373244,https://www.goodreads.com/author/list/1373244?page=1&per_page=100
Mirta Rosenberg,1084356,https://www.goodreads.com/author/list/1084356?page=1&per_page=100
Samanta Schweblin,2898936,https://www.goodreads.com/author/list/2898936?page=1&per_page=100
Sandra Siemens,847152,https://www.goodreads.com/author/list/847152?page=1&per_page=100
Nora Aubone de de la Torre,,
Paulina Vinderman,1811870,https://www.goodreads.com/author/list/1811870?page=1&per_page=100
Ema Wolf,249142,https://www.goodreads.com/author/list/249142?page=1&per_page=100
Marina Yuszczuk,8423828,https://www.goodreads.com/author/list/8423828?page=1&per_page=100
Ana María Shua,3217872,https://www.goodreads.com/author/list/3217872?page=1&per_page=100
Alejandra Pizarnik,112534,https://www.goodreads.com/author/list/112534?page=1&per_page=100
Luisa Valenzuela,40303,https://www.goodreads.com/author/list/40303?page=1&per_page=100
María Gainza,15307242,https://www.goodreads.com/author/list/15307242?page=1&per_page=100
Ariana Harwicz,6897634,https://www.goodreads.com/author/list/6897634?page=1&per_page=100
Liliana Villanueva,7510342,https://www.goodreads.com/author/list/7510342?page=1&per_page=100
Gabriela Cabezón Cámara,4155709,https://www.goodreads.com/author/list/4155709?page=1&per_page=100
Inés Garland,4477904,https://www.goodreads.com/author/list/4477904?page=1&per_page=100
Leila Guerriero,749654,https://www.goodreads.com/author/list/749654?page=1&per_page=100
Liliana Heker,41706,https://www.goodreads.com/author/list/41706?page=1&per_page=100
Claudia Piñeiro,291980,https://www.goodreads.com/author/list/291980?page=1&per_page=100
Narcisa Amália,16831650,https://www.goodreads.com/author/list/16831650?page=1&per_page=100
Ana Arruda Callado,1524862,https://www.goodreads.com/author/list/1524862?page=1&per_page=100
Patrícia Barboza,7094593,https://www.goodreads.com/author/list/7094593?page=1&per_page=100
Lúcia Benedetti,26887651,https://www.goodreads.com/author/list/26887651?page=1&per_page=100
Laura Bergallo,6070775,https://www.goodreads.com/author/list/6070775?page=1&per_page=100
Natalia Borges Polesso,7800341,https://www.goodreads.com/author/list/7800341?page=1&per_page=100
Eliane Brum,1956725,https://www.goodreads.com/author/list/1956725?page=1&per_page=100
Astrid Cabral,1935811,https://www.goodreads.com/author/list/1935811?page=1&per_page=100
Maria Helena Cardoso,6923056,https://www.goodreads.com/author/list/6923056?page=1&per_page=100
Maria Cristina Cavalcanti de Albuquerque,4754980,https://www.goodreads.com/author/list/4754980?page=1&per_page=100
Ana Cristina Cesar,713071,https://www.goodreads.com/author/list/713071?page=1&per_page=100
Marina Colasanti,698593,https://www.goodreads.com/author/list/698593?page=1&per_page=100
Cora Coralina,483475,https://www.goodreads.com/author/list/483475?page=1&per_page=100
Maria Luísa Cordeiro,1659132,https://www.goodreads.com/author/list/1659132?page=1&per_page=100
Lia Correia Dutra,,
Wanda Cristina,26895495,https://www.goodreads.com/author/list/26895495?page=1&per_page=100
Julieta de Godoy Ladeira,1371969,https://www.goodreads.com/author/list/1371969?page=1&per_page=100
Antonieta Dias de Moraes,7242212,https://www.goodreads.com/author/list/7242212?page=1&per_page=100
